row,init,freeze_params,trainable_params_mean,trainable_params_std,test_acc_mean,test_acc_std,test_accs
random,Random,No,22538.0,0.0,0.8797599999999999,0.06701858249769237,0.859400 0.759900 0.901100 0.948000 0.930400
bio_trainable,Biological,No,23562.0,0.0,0.89116,0.013139802129408204,0.893700 0.877400 0.911500 0.876300 0.896900
bio_frozen,Biological,Yes,21514.0,0.0,0.56792,0.011879292908250027,0.579100 0.556000 0.572800 0.580100 0.551600
