Model,Step 1 Mean,Step 1 Std,Step 2 Mean,Step 2 Std,Step 3 Mean,Step 3 Std,Step 4 Mean,Step 4 Std,Step 5 Mean,Step 5 Std,Vote Mean,Vote Std
GFR-RNN (hidden=65),0.9928,0.0011,0.9813,0.0037,0.9321,0.0185,0.8202,0.0380,0.6408,0.0661,0.9449,0.0135
RNN (hidden=68),0.9826,0.0015,0.9494,0.0225,0.7822,0.0865,0.4796,0.1139,0.2483,0.0987,0.8197,0.0721
SNN-LIF (hidden=68),0.9430,0.0065,0.9408,0.0058,0.9347,0.0069,0.9247,0.0079,0.9097,0.0100,0.9399,0.0062
SNN-Synaptic (hidden=68),0.9468,0.0048,0.9459,0.0050,0.9397,0.0048,0.9280,0.0067,0.9102,0.0114,0.9450,0.0045
