Loaded 844 biological neurons from model/best_params.pickle (bin_size=20, activation_bin_size=20, evr>0.7).
Launching 15 task(s) with 7 worker(s): ['cuda:0', 'cuda:1', 'cuda:2', 'cuda:4', 'cuda:5', 'cuda:6', 'cuda:7']
Started random run 2 | seed=1235 | device=cuda:1 | trainable_params=22538 | total_params=23184
Epoch 008/300 | train_loss=29.4489 | train_acc=0.9283 | test_loss=4.7910 | test_acc=0.6073
Epoch 009/300 | train_loss=25.5666 | train_acc=0.9381 | test_loss=4.2883 | test_acc=0.7772
Epoch 008/300 | train_loss=42.2703 | train_acc=0.8960 | test_loss=7.4340 | test_acc=0.5296
Epoch 008/300 | train_loss=28.3421 | train_acc=0.9315 | test_loss=4.5054 | test_acc=0.6005
Epoch 009/300 | train_loss=22.7668 | train_acc=0.9466 | test_loss=3.4384 | test_acc=0.7803
Epoch 008/300 | train_loss=271.5429 | train_acc=0.1124 | test_loss=46.0190 | test_acc=0.1135
Epoch 009/300 | train_loss=271.5449 | train_acc=0.1124 | test_loss=46.0194 | test_acc=0.1135
Epoch 009/300 | train_loss=28.0582 | train_acc=0.9317 | test_loss=4.4360 | test_acc=0.6512
Epoch 010/300 | train_loss=23.3727 | train_acc=0.9441 | test_loss=4.5334 | test_acc=0.8453
Epoch 009/300 | train_loss=38.1004 | train_acc=0.9060 | test_loss=5.7198 | test_acc=0.5574
Epoch 009/300 | train_loss=26.8686 | train_acc=0.9355 | test_loss=4.7745 | test_acc=0.6325
Epoch 010/300 | train_loss=21.3046 | train_acc=0.9499 | test_loss=3.5729 | test_acc=0.7950
Epoch 009/300 | train_loss=271.5409 | train_acc=0.1124 | test_loss=46.0192 | test_acc=0.1135
Epoch 011/300 | train_loss=21.2758 | train_acc=0.9484 | test_loss=3.7909 | test_acc=0.8428
Epoch 010/300 | train_loss=26.5248 | train_acc=0.9353 | test_loss=4.6241 | test_acc=0.5722
Epoch 010/300 | train_loss=32.9037 | train_acc=0.9204 | test_loss=5.7525 | test_acc=0.5042
Epoch 010/300 | train_loss=271.5471 | train_acc=0.1124 | test_loss=46.0190 | test_acc=0.1135
Epoch 010/300 | train_loss=26.0001 | train_acc=0.9363 | test_loss=4.7373 | test_acc=0.5586
Epoch 011/300 | train_loss=19.7887 | train_acc=0.9530 | test_loss=3.3500 | test_acc=0.8000
Epoch 012/300 | train_loss=20.4826 | train_acc=0.9505 | test_loss=3.9200 | test_acc=0.8129
Epoch 010/300 | train_loss=271.5526 | train_acc=0.1124 | test_loss=46.0190 | test_acc=0.1135
Epoch 011/300 | train_loss=25.2498 | train_acc=0.9375 | test_loss=4.4474 | test_acc=0.6490
Epoch 011/300 | train_loss=271.5394 | train_acc=0.1124 | test_loss=46.0188 | test_acc=0.1135
Epoch 011/300 | train_loss=30.9815 | train_acc=0.9235 | test_loss=6.4490 | test_acc=0.6039
Epoch 011/300 | train_loss=23.7400 | train_acc=0.9419 | test_loss=3.9045 | test_acc=0.7073
Epoch 013/300 | train_loss=17.9675 | train_acc=0.9566 | test_loss=3.3872 | test_acc=0.7841
Epoch 012/300 | train_loss=18.9992 | train_acc=0.9555 | test_loss=3.4713 | test_acc=0.7947
Epoch 012/300 | train_loss=28.4334 | train_acc=0.9306 | test_loss=5.1198 | test_acc=0.6573
Epoch 012/300 | train_loss=23.3611 | train_acc=0.9419 | test_loss=4.2390 | test_acc=0.6371
Epoch 011/300 | train_loss=271.5384 | train_acc=0.1124 | test_loss=46.0195 | test_acc=0.1135
Epoch 012/300 | train_loss=271.5426 | train_acc=0.1124 | test_loss=46.0194 | test_acc=0.1135
Epoch 012/300 | train_loss=22.0962 | train_acc=0.9465 | test_loss=3.7263 | test_acc=0.6955
Epoch 014/300 | train_loss=17.1429 | train_acc=0.9588 | test_loss=3.8469 | test_acc=0.8057
Epoch 013/300 | train_loss=17.9112 | train_acc=0.9576 | test_loss=2.8140 | test_acc=0.8089
Epoch 013/300 | train_loss=26.9142 | train_acc=0.9343 | test_loss=4.5619 | test_acc=0.6042
Epoch 013/300 | train_loss=22.0311 | train_acc=0.9458 | test_loss=4.3143 | test_acc=0.5912
Epoch 013/300 | train_loss=271.5411 | train_acc=0.1124 | test_loss=46.0195 | test_acc=0.1135
Epoch 012/300 | train_loss=271.5385 | train_acc=0.1124 | test_loss=46.0193 | test_acc=0.1135
Epoch 013/300 | train_loss=21.4555 | train_acc=0.9478 | test_loss=4.2223 | test_acc=0.6750
Epoch 015/300 | train_loss=16.1524 | train_acc=0.9607 | test_loss=3.1757 | test_acc=0.8456
Epoch 014/300 | train_loss=15.8209 | train_acc=0.9625 | test_loss=2.9215 | test_acc=0.8931
Epoch 014/300 | train_loss=21.6836 | train_acc=0.9460 | test_loss=3.5742 | test_acc=0.6706
Epoch 014/300 | train_loss=271.5361 | train_acc=0.1124 | test_loss=46.0196 | test_acc=0.1135
Epoch 016/300 | train_loss=15.8428 | train_acc=0.9614 | test_loss=3.6599 | test_acc=0.8546
Epoch 014/300 | train_loss=25.5020 | train_acc=0.9373 | test_loss=4.4389 | test_acc=0.5948
