row,init,freeze_params,trainable_params_mean,trainable_params_std,test_acc_mean,test_acc_std,test_accs
random,Random,No,22538.0,0.0,0.8797599999999999,0.06701858249769237,0.859400 0.759900 0.901100 0.948000 0.930400
bio_trainable,Biological,No,23562.0,0.0,0.1135,0.0,0.113500 0.113500 0.113500 0.113500 0.113500
bio_frozen,Biological,Yes,21514.0,0.0,0.1135,0.0,0.113500 0.113500 0.113500 0.113500 0.113500
