model,run_idx,epoch,train_loss,train_acc,test_loss,test_acc
stage2,1,1,236.5164166688919,0.39153333333333334,34.75976574420929,0.5065
stage2,1,2,192.8753446340561,0.6897166666666666,30.92763912677765,0.6568
stage2,1,3,174.2425675392151,0.77905,28.23495638370514,0.7099
stage2,1,4,161.97551131248474,0.81755,26.710200309753418,0.7185
stage2,1,5,153.7255036830902,0.8399333333333333,25.83013892173767,0.7326
stage2,1,6,147.17967581748962,0.8587166666666667,24.514324188232422,0.7848
stage2,1,7,142.38028824329376,0.8679,23.499938011169434,0.8189
stage2,1,8,138.486132979393,0.875,23.1101975440979,0.8146
stage2,1,9,134.72188818454742,0.88285,23.041696190834045,0.8343
stage2,1,10,132.68686735630035,0.8836666666666667,22.318599104881287,0.8433
stage2,1,11,130.3160047531128,0.8888333333333334,21.82905352115631,0.8571
stage2,1,12,128.95277607440948,0.8898,21.930605232715607,0.8449
stage2,1,13,126.7669380903244,0.8948,21.16026198863983,0.8653
stage2,1,14,124.53006315231323,0.8995333333333333,20.79231745004654,0.8897
stage2,1,15,123.05606949329376,0.9032666666666667,20.501572132110596,0.9002
stage2,1,16,122.1693172454834,0.9031666666666667,20.79262286424637,0.8833
stage2,1,17,120.79875421524048,0.90645,20.239159882068634,0.9021
stage2,1,18,119.75772941112518,0.90925,20.522257387638092,0.8914
stage2,1,19,119.44090282917023,0.9081833333333333,20.679113686084747,0.894
stage2,1,20,119.09994661808014,0.9082833333333333,20.077742874622345,0.9028
stage2,1,21,118.19405543804169,0.9099833333333334,20.316738843917847,0.881
stage2,1,22,117.5719376206398,0.9122166666666667,19.752292454242706,0.9089
stage2,1,23,116.37904757261276,0.9148,20.36936628818512,0.8921
stage2,1,24,116.47488743066788,0.9134833333333333,20.029095768928528,0.8944
stage2,1,25,115.46002388000488,0.9167333333333333,19.257640540599823,0.9224
stage2,1,26,115.15328073501587,0.9161833333333333,19.478003084659576,0.91
stage2,1,27,114.55202585458755,0.91845,19.46020418405533,0.92
stage2,1,28,113.87795460224152,0.9207,19.605596840381622,0.9087
stage2,1,29,113.82136303186417,0.9193666666666667,19.535589337348938,0.9042
stage2,1,30,112.93577998876572,0.9224,19.58755922317505,0.9049
stage2,1,31,112.86557692289352,0.9215166666666667,18.96868634223938,0.9201
stage2,1,32,110.77073162794113,0.9293833333333333,18.90821933746338,0.921
stage2,1,33,111.12344968318939,0.9257166666666666,18.594661056995392,0.9279
stage2,1,34,110.97507607936859,0.9252,19.037762343883514,0.9133
stage2,1,35,111.17520505189896,0.9224666666666667,18.658698081970215,0.927
stage2,1,36,110.08539187908173,0.9267166666666666,19.08599317073822,0.9114
stage2,1,37,109.62077683210373,0.9280833333333334,18.348983228206635,0.9319
stage2,1,38,109.24365085363388,0.9283666666666667,18.621080696582794,0.921
stage2,1,39,109.57656699419022,0.9265833333333333,18.586524784564972,0.9238
stage2,1,40,108.73344242572784,0.9298666666666666,18.417091965675354,0.9272
stage2,1,41,108.70666885375977,0.9295333333333333,18.187182426452637,0.9315
stage2,1,42,108.25206238031387,0.93135,18.30173820257187,0.9269
stage2,1,43,108.5141264796257,0.9288333333333333,18.659458577632904,0.9198
stage2,1,44,108.16573894023895,0.92875,18.057346880435944,0.933
stage2,1,45,107.69345504045486,0.93105,18.179292380809784,0.9284
stage2,1,46,107.11818569898605,0.9329333333333333,18.266735434532166,0.9219
stage2,1,47,107.5738942027092,0.93095,18.246732890605927,0.9274
stage2,1,48,106.62315797805786,0.9337,18.14991855621338,0.9277
stage2,1,49,106.31593638658524,0.9343333333333333,18.023810148239136,0.9305
stage2,1,50,106.3924788236618,0.9337833333333333,18.5072158575058,0.9207
stage2,1,51,105.3854888677597,0.9372666666666667,18.219089150428772,0.9243
stage2,1,52,106.35139173269272,0.93265,18.102295458316803,0.9298
stage2,1,53,105.6127257347107,0.93505,18.125959753990173,0.9276
