cell_id,species,dendrite_type,line_name,layer,evr1,evr2,c0,c1,gamma,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,alpha_7,alpha_8,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,poly_coeff_0,poly_coeff_1,g_b,max_current,max_firing_rate,cell_class,ei_type
566517779,Mouse,spiny,Chrna2-Cre_OE25,5,0.7826315416638527,0.7080001087256376,-0.5794889571053731,0.04026940368164832,0.052724396084222504,8.024927139282227,0.08883535861968994,0.1395762860774994,0.1626509577035904,0.14528407156467438,0.0855310782790184,0.047293052077293396,0.014968644827604294,0.11180227994918823,-0.13139289617538452,-0.18530622124671936,-0.08394895493984222,-0.19180038571357727,-0.41120606660842896,-0.49696192145347595,-0.5482808351516724,-0.002819140674546361,2.7646944522857666,109.99280548095703,189.80999755859375,0.052724396084222504,Excitatory (Mouse),Excitatory
486875162,Mouse,aspiny,Htr3a-Cre_NO152,2/3,0.6352067340663038,0.6319429981191199,-0.34978454162418593,0.008663200707252667,0.21766286242770916,7.571374416351318,-0.39827245473861694,-0.2255888283252716,-0.07749371975660324,-0.002141157165169716,0.04358699917793274,0.06189170479774475,0.060702133923769,-0.4567340612411499,-0.5257096886634827,-0.4970698952674866,-0.3539738059043884,-0.28607863187789917,-0.28160133957862854,-0.23922501504421234,-0.2035619467496872,-0.11011555790901184,1.411395788192749,80.44245910644531,229.9425048828125,0.21766286242770916,Inhibitory (Mouse),Inhibitory
562651165,Mouse,aspiny,Ndnf-IRES2-dgCre,2/3,0.7905948354271152,0.7825429814480398,-0.9134189372373204,0.030692647405794037,0.09166161611161866,7.747243881225586,-0.057125192135572433,0.081736259162426,0.08999229967594147,0.08736182749271393,0.08614838868379593,0.06240152567625046,0.03699665144085884,-0.4443598985671997,-0.5351720452308655,-0.35278499126434326,-0.44554516673088074,-0.26714321970939636,-0.13133268058300018,-0.1461445540189743,-0.18176323175430298,-0.037174154072999954,2.655607223510742,209.87765502929688,229.77000427246094,0.09166161611161866,Inhibitory (Mouse),Inhibitory
526573598,Mouse,spiny,Ctgf-T2A-dgCre,6b,0.5736700703795753,0.6507484473111422,-0.9145670290157014,0.07384124164427802,0.055701121152168326,8.154641151428223,0.19003905355930328,0.2184811681509018,0.2053186148405075,0.16451208293437958,0.12142404913902283,0.11013136059045792,0.097932368516922,0.24296358227729797,-0.42125123739242554,-0.10428541898727417,-0.07938861846923828,-0.5330594182014465,-0.8230825066566467,-0.8212102651596069,-0.8023033142089844,-0.1033763587474823,4.119041442871094,210.1507568359375,229.77000427246094,0.055701121152168326,Excitatory (Mouse),Excitatory
608108585,Mouse,spiny,Tlx3-Cre_PL56,5,0.7787788647225241,0.7309364990065427,-0.5287279932175996,0.0560387204794139,0.061058828471586724,7.854677200317383,-0.1617051661014557,-0.045663606375455856,0.10429662466049194,0.1800980120897293,0.12014349550008774,0.018872546032071114,-0.053390853106975555,-0.37570083141326904,-0.809558629989624,-1.0142557621002197,-0.6719978451728821,-0.26518458127975464,-0.16600894927978516,-0.24119161069393158,-0.32967469096183777,0.2456485629081726,3.428755283355713,110.98218536376953,209.7899932861328,0.061058828471586724,Excitatory (Mouse),Excitatory
479993900,Mouse,spiny,Scnn1a-Tg2-Cre,4,0.7151946799411854,0.7848023011410853,-0.9211549551757571,0.031647583968402136,0.09016948797977192,7.900942802429199,-0.022360095754265785,-0.0027108201757073402,0.009303235448896885,0.024104712530970573,0.038275085389614105,0.032251838594675064,0.015513161197304726,-0.42217329144477844,-0.42605718970298767,-0.5962569713592529,-0.810431182384491,-0.6393006443977356,-0.4723823666572571,-0.4157443046569824,-0.4030691087245941,0.03541274741292,2.81245756149292,230.23240661621094,249.93748474121094,0.09016948797977192,Excitatory (Mouse),Excitatory
569270348,Mouse,aspiny,Ndnf-IRES2-dgCre,1,0.9175754043568833,0.9182811290621378,-0.862100487116222,0.011039325585665822,0.16068170176064347,7.731639862060547,-0.04747353866696358,0.1816062331199646,0.23232753574848175,0.18098437786102295,0.08029399812221527,0.03772900626063347,0.03256728872656822,-0.8666773438453674,-0.7700477838516235,-0.435891330242157,-0.2932509183883667,-0.1880299299955368,-0.11310701072216034,-0.11094680428504944,-0.12385467439889908,2.9962415881712445e-10,1.7883520126342773,249.75912475585938,289.7099914550781,0.16068170176064347,Inhibitory (Mouse),Inhibitory
508911693,Mouse,spiny,Rbp4-Cre_KL100,4,0.5755145061519036,0.5944916081542677,-0.9179764602497484,0.01526210302534222,0.17833767882809923,7.9260663986206055,0.1376672238111496,0.12580764293670654,0.09645610302686691,0.1309758722782135,0.10396523773670197,0.03146478906273842,0.03139817342162132,-0.1581868976354599,-0.5586305856704712,-0.3796244263648987,-0.30506011843681335,-0.20952901244163513,-0.2640622854232788,-0.3320464789867401,-0.3460041880607605,-0.021194936707615852,1.8726381063461304,210.9239044189453,229.77000427246094,0.17833767882809923,Excitatory (Mouse),Excitatory
609435731,Mouse,aspiny,Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre,2/3,0.9619298977207091,0.9539160187932062,-0.6486584914377731,0.0054613568629410325,0.2737580963956636,8.02430534362793,0.02512725628912449,0.02592330425977707,0.027568982914090157,0.029090287163853645,0.028616586700081825,0.021339286118745804,0.003679033601656556,-0.17622357606887817,-0.16914573311805725,-0.15205097198486328,-0.15853853523731232,-0.07140488177537918,-0.05964691564440727,-0.0610358864068985,-0.0733252689242363,3.6811200754272022e-09,1.4208030700683594,239.76364135742188,369.6300048828125,0.2737580963956636,Other (Mouse),Inhibitory
485245025,Mouse,aspiny,Pvalb-IRES-Cre,2/3,0.9386631820540039,0.9334800309431615,-0.6573190651451428,0.0034075120289000773,0.3534718000198498,8.004961013793945,0.005786729510873556,0.005905222147703171,0.009273769333958626,0.014761560596525669,0.017032792791724205,0.01143734622746706,-0.003725778078660369,-0.4160178601741791,-0.3939025104045868,-0.3953413963317871,-0.6060916185379028,-0.34594377875328064,-0.06368126720190048,-0.03956222161650658,-0.04039520397782326,-0.2630102336406708,1.2653577327728271,308.931884765625,469.8824768066406,0.3534718000198498,Inhibitory (Mouse),Inhibitory
