target,comparison,group_1,group_2,mean_difference,std_difference,fraction_positive,n_splits
inhibitory_vs_excitatory,activation_minus_input_history_kernel,activation,input_history_kernel,0.029007762908004223,0.01107598568646287,0.995,200
inhibitory_vs_excitatory,activation_minus_firing_rate_history_kernel,activation,firing_rate_history_kernel,0.021198896928690373,0.011747019803709761,0.97,200
inhibitory_vs_excitatory,input_history_minus_firing_rate_history_kernel,input_history_kernel,firing_rate_history_kernel,-0.00780886597931385,0.010209442530386786,0.26,200
cre_line,activation_minus_input_history_kernel,activation,input_history_kernel,0.024824308510869742,0.004868614940835281,1.0,200
cre_line,activation_minus_firing_rate_history_kernel,activation,firing_rate_history_kernel,0.020339288683608174,0.0043607900535251026,1.0,200
cre_line,input_history_minus_firing_rate_history_kernel,input_history_kernel,firing_rate_history_kernel,-0.004485019827261567,0.003697269623551326,0.095,200
