target,group,observed_importance,mean_importance_half_A,mean_importance_half_B,mean_importance_all_halves,sd_all_halves,sd_diff,se_half,se_full_approx,ci95_low,ci95_high,pearson_r_mean,pearson_r_std,spearman_r_mean,spearman_r_std,n_splits,stratified_splits,n_restarts_full,n_restarts_per_half
inhibitory_vs_excitatory,input_history_kernel,0.04777632653713226,0.04515876023098826,0.0443681641947478,0.04476346221286803,0.007954097268757744,0.011970093248739455,0.00846413410761898,0.005985046624369728,0.036045635153367596,0.05950701792089693,0.5204219809795815,0.5199429649449772,0.44,0.5792908504777511,200,200,30,1
inhibitory_vs_excitatory,firing_rate_history_kernel,0.04897473007440567,0.05149593806825578,0.053648718316107985,0.05257232819218188,0.008698671468474639,0.01339038607081076,0.009468432793376178,0.00669519303540538,0.035852151725011126,0.062097308423800214,0.5204219809795815,0.5199429649449772,0.44,0.5792908504777511,200,200,30,1
inhibitory_vs_excitatory,activation,0.07533053308725357,0.07558747040107847,0.07195497984066605,0.07377122512087225,0.015088269723493801,0.024573610456973698,0.017376166592362755,0.012286805228486849,0.05124839483941934,0.0994126713350878,0.5204219809795815,0.5199429649449772,0.44,0.5792908504777511,200,200,30,1
cre_line,input_history_kernel,0.048616714775562286,0.046855692751705647,0.046791351065039635,0.04682352190837264,0.002982410437767568,0.0043272576378684015,0.003059833219678028,0.0021636288189342007,0.04437600229045125,0.05285742726067332,0.9404103558304365,0.0803760002824855,0.8325,0.23658744279959631,200,200,30,1
cre_line,firing_rate_history_kernel,0.05178656429052353,0.051338067725300786,0.051279015745967625,0.051308541735634206,0.002866672946424308,0.004355610156223511,0.0030798814776706418,0.0021778050781117555,0.04751806633742449,0.05605506224362257,0.9404103558304365,0.0803760002824855,0.8325,0.23658744279959631,200,200,30,1
cre_line,activation,0.0655912384390831,0.07148330494761466,0.0718123558908701,0.07164783041924239,0.005632828715394525,0.008730981172814579,0.006173735993709265,0.0043654905864072896,0.05703487688972481,0.07414759998844139,0.9404103558304365,0.0803760002824855,0.8325,0.23658744279959631,200,200,30,1
