model,params,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,final_test_loss_mean,final_test_loss_std,first_entropy_correct_mean,first_entropy_correct_std,first_entropy_incorrect_mean,first_entropy_incorrect_std,decision_entropy_correct_mean,decision_entropy_correct_std,decision_entropy_incorrect_mean,decision_entropy_incorrect_std
GFR-RNN,7355,0.9449133333333333,0.013526506488291004,0.9342,0.013699927007104831,1.7705235613510013,0.05213530269059306,0.0217088954108922,0.0038300840918835607,0.253991283970298,0.06357410423157447,0.3205809085804578,0.05331906125609854,0.7895641536351002,0.03660855612052866
RNN,7354,0.81972,0.07214264065031165,0.8062799999999999,0.07306472199358593,2.507541048154235,0.14192473663589822,0.0374292231760091,0.004742937681710717,0.18794956564978013,0.041194669957598996,0.6352184300039283,0.0945495630985877,0.8486871438889196,0.03846980983932887
SNN-LIF,7354,0.9399466666666667,0.006206917288173086,0.9323,0.006812635319756957,4.874471302330494,0.4185578240810651,0.16679361910060114,0.01897219957826731,0.7604343324500237,0.01940261353791932,0.23054087217255587,0.03045371265718933,0.8673247276751395,0.028861338444007116
SNN-Synaptic,7354,0.9450100000000001,0.004457784701445838,0.93826,0.005590921212108082,4.14344946295023,0.31998536199179073,0.13573921631957458,0.014050151886313093,0.6896115191184211,0.03134977492312776,0.1822057378460484,0.010079258222903563,0.8070460614560222,0.006700496102158566
