model,params,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,final_train_loss_mean,final_train_loss_std,final_test_loss_mean,final_test_loss_std
GFR-RNN,7355,0.9449133333333333,0.013526506488291004,0.9342,0.013699927007104831,3.8783751697279514,0.5945982086187119,1.7705235613510013,0.05213530269059306
RNN,7354,0.81972,0.07214264065031165,0.8062799999999999,0.07306472199358593,6.7574100162833926,0.9026835547089099,2.507541048154235,0.14192473663589822
SNN-LIF,7354,0.9399466666666667,0.006206917288173086,0.9323,0.006812635319756957,24.576792939007284,1.8099631029382732,4.874471302330494,0.4185578240810651
SNN-Synaptic,7354,0.9450100000000001,0.004457784701445838,0.93826,0.005590921212108082,20.18003475293517,0.8411186852175208,4.14344946295023,0.31998536199179073
