model,n_runs,accuracy_mean,accuracy_std,first_entropy_correct_mean,first_entropy_correct_std,first_entropy_incorrect_mean,first_entropy_incorrect_std,decision_entropy_correct_mean,decision_entropy_correct_std,decision_entropy_incorrect_mean,decision_entropy_incorrect_std,n_correct_mean,n_incorrect_mean
GFR-RNN,5,0.9342,0.013699927007104831,0.0217088954108922,0.0038300840918835607,0.253991283970298,0.06357410423157447,0.3205809085804578,0.05331906125609854,0.7895641536351002,0.03660855612052866,9342.0,658.0
RNN,5,0.8062799999999999,0.07306472199358593,0.0374292231760091,0.004742937681710717,0.18794956564978013,0.041194669957598996,0.6352184300039283,0.0945495630985877,0.8486871438889196,0.03846980983932887,8062.8,1937.2
SNN-LIF,5,0.93216,0.007031244555553424,0.16679361910060114,0.01897219957826731,0.7604343324500237,0.01940261353791932,0.23054087217255587,0.03045371265718933,0.8673247276751395,0.028861338444007116,9321.6,678.4
SNN-Synaptic,5,0.9384,0.00562529999200044,0.13573921631957458,0.014050151886313093,0.6896115191184211,0.03134977492312776,0.1822057378460484,0.010079258222903563,0.8070460614560222,0.006700496102158566,9384.0,616.0
